report_date,mall,ad_type,landing,url,campaign,adgroup,keyword,device,impressions,clicks,cost,conversions,conversion_value
2026-01-08,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-01-09,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-01-10,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-01-11,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-01-14,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-01-15,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-01-16,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-01-19,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-01-20,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-01-21,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-01-24,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-01-26,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-01-27,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-01-28,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-01-29,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-01-30,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-02-01,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-02-02,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,7,1,143,0,0
2026-02-03,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,5,0,0,0,0
2026-02-04,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-02-05,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-02-06,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-02-08,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,3,0,0,0,0
2026-02-10,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-02-11,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-02-12,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-02-14,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-02-18,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-02-19,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-02-20,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-02-22,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-02-23,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-02-24,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-02-25,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-02-26,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,4,0,0,0,0
2026-02-27,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-02-28,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,3,0,0,0,0
2026-03-01,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,3,1,99,1,60900
2026-03-02,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,4,0,0,0,0
2026-03-04,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,3,0,0,0,0
2026-03-06,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-03-08,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-03-09,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,4,0,0,0,0
2026-03-10,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-03-11,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,3,0,0,0,0
2026-03-12,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-03-13,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-03-15,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-03-16,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,3,0,0,0,0
2026-03-17,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-03-18,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-03-19,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-03-20,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-03-21,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,6,0,0,0,0
2026-03-24,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-03-26,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-03-27,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-03-28,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-03-29,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
2026-03-30,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,1,0,0,0,0
2026-03-31,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지,,2,0,0,0,0
